LocationID,adjacent_zones
1,[]
2,"[30, 132]"
3,"[32, 51, 81, 184, 185, 242, 254]"
4,"[79, 148, 224, 232]"
5,"[84, 99, 204]"
6,"[115, 118, 214, 221]"
7,"[146, 179, 193, 207, 226, 223, 260]"
8,"[179, 223]"
9,"[16, 73, 98, 121, 171, 192]"
24,"[41, 43, 151, 166]"
10,"[205, 215, 216, 218, 219]"
11,"[14, 22, 67]"
12,"[13, 88, 261]"
13,"[12, 231, 261]"
18,"[20, 94, 136, 174, 241]"
25,"[33, 40, 52, 65, 97, 106, 181]"
14,"[11, 67, 227, 228]"
15,"[16, 171, 252]"
22,"[11, 21, 26, 67]"
23,"[99, 118, 156, 187, 251]"
16,"[9, 15, 64, 98, 171, 175]"
17,"[37, 49, 61, 80, 217, 225]"
19,"[64, 101, 175, 191]"
20,"[18, 31, 47, 78, 94, 174]"
21,"[22, 26, 108, 123, 178]"
26,"[22, 21, 67, 89, 111, 133, 178, 227]"
27,[201]
28,"[93, 121, 134, 130, 131, 135, 197]"
33,"[25, 52, 54, 65, 66]"
29,"[55, 108, 150, 123, 210]"
31,"[20, 32, 78, 174, 185, 240, 242, 254]"
32,"[3, 31, 185, 254]"
30,[2]
34,"[49, 66, 97, 217, 256]"
35,"[61, 72, 76, 77, 177]"
36,"[37, 80, 96, 198]"
37,"[17, 36, 63, 80, 96, 177, 225]"
38,"[139, 191, 203, 205]"
39,"[72, 76, 91, 155, 222]"
40,"[25, 52, 54, 106, 195, 228]"
41,"[24, 42, 43, 74, 75, 152, 166]"
45,"[144, 148, 209, 231, 232]"
46,[]
42,"[41, 74, 116, 120, 152, 166]"
43,"[24, 41, 75, 151, 142, 163, 239, 236, 237, 238]"
44,"[84, 99, 204]"
47,"[20, 59, 69, 78, 94, 167, 169]"
48,"[50, 68, 100, 142, 143, 163, 230, 246]"
49,"[17, 34, 61, 97, 189, 217]"
50,"[48, 142, 143, 246]"
51,"[3, 81, 184]"
52,"[25, 33, 40, 54]"
53,"[92, 138, 252]"
54,"[33, 40, 52, 195]"
55,"[29, 108]"
56,"[57, 82, 93, 95, 173, 196]"
57,"[56, 93, 173]"
58,"[184, 208]"
59,"[47, 60, 78, 167]"
60,"[59, 78, 126, 167, 212, 213, 242, 248]"
61,"[17, 35, 49, 62, 72, 177, 189, 225]"
62,"[61, 72, 189, 190, 188]"
63,"[37, 76, 96, 124, 177, 180, 258]"
64,"[16, 19, 101, 175]"
65,"[25, 33, 66, 97]"
72,"[35, 39, 61, 62, 71, 76, 91, 188]"
66,"[33, 34, 65, 97]"
67,"[11, 14, 22, 26, 227]"
68,"[48, 90, 100, 158, 186, 246, 249]"
73,"[9, 92, 171, 192]"
69,"[47, 159, 167, 168, 169, 247]"
70,"[93, 129, 138, 173]"
71,"[72, 85, 89, 91, 188]"
79,"[4, 107, 113, 114, 148, 224, 232, 234]"
80,"[17, 36, 37, 112, 157, 198, 217, 255, 256]"
74,"[41, 42, 75, 194]"
85,"[71, 89, 188]"
86,[117]
75,"[41, 43, 74, 236, 263, 262]"
